St Kilda,403/64 Wellington St,2,u,460000,SP,LITTLE,01-07-2017,3182,Southern Metropolitan,13240,5,Port Phillip City Council
Strathmore,48 Bournian Av,4,h,1725000,PI,Brad,01-07-2017,3041,Western Metropolitan,3284,8.2,Moonee Valley City Council
Strathmore,2/30 Bulla Rd,2,h,646000,S,Nelson,01-07-2017,3041,Western Metropolitan,3284,8.2,Moonee Valley City Council
Strathmore,16A Lamart St,4,h,1190000,PI,Nelson,01-07-2017,3041,Western Metropolitan,3284,8.2,Moonee Valley City Council
Strathmore Heights,2/1 De Havilland Av,2,h,635500,S,Considine,01-07-2017,3041,Western Metropolitan,389,8.2,Moonee Valley City Council
Sunbury,11 Bannermann St,4,h,580000,S,Raine,01-07-2017,3429,Western Metropolitan,14092,31.7,Hume City Council
Sunbury,38 Felton Av,3,h,413000,S,L,01-07-2017,3429,Western Metropolitan,14092,31.7,Hume City Council
Sunbury,60 Heysen Dr,3,h,420000,S,Raine,01-07-2017,3429,Western Metropolitan,14092,31.7,Hume City Council
Sunbury,18 Timins St,3,h,650000,S,YPA,01-07-2017,3429,Western Metropolitan,14092,31.7,Hume City Council
Sunshine,2/17 Anderson Rd,3,t,525000,S,McGrath,01-07-2017,3020,Western Metropolitan,3755,10.5,Brimbank City Council
Sunshine North,10 Edna St,3,h,780000,SA,FN,01-07-2017,3020,Western Metropolitan,4217,10.5,Brimbank City Council
Sunshine West,38 Collenso St,4,h,765000,S,Douglas,01-07-2017,3020,Western Metropolitan,6763,10.5,Brimbank City Council
Surrey Hills,112 Broughton Rd,4,h,1420000,PI,Fletchers,01-07-2017,3127,Southern Metropolitan,5457,10.2,Boroondara City Council
Surrey Hills,1093 Riversdale Rd,3,h,2100000,VB,Jellis,01-07-2017,3127,Southern Metropolitan,5457,10.2,Boroondara City Council
Surrey Hills,35A Russell St,3,h,1385000,S,Fletchers,01-07-2017,3127,Southern Metropolitan,5457,10.2,Boroondara City Council
Sydenham,3/42 Albert Rd,2,h,417000,S,Bells,01-07-2017,3037,Western Metropolitan,3640,18,Brimbank City Council
Sydenham,19 Boberrit Wyn,3,h,,PI,YPA,01-07-2017,3037,Western Metropolitan,3640,18,Brimbank City Council
Tarneit,30 Homestead Av,4,h,810000,VB,hockingstuart,01-07-2017,3029,Western Metropolitan,10160,18.4,Wyndham City Council
Tarneit,3 Rosebud St,3,h,451500,S,Reliance,01-07-2017,3029,Western Metropolitan,10160,18.4,Wyndham City Council
Tarneit,2 Skylark Ct,3,h,526000,S,Purplebricks,01-07-2017,3029,Western Metropolitan,10160,18.4,Wyndham City Council
Taylors Hill,3 Highlander Ct,4,h,605500,S,YPA,01-07-2017,3037,Western Metropolitan,4242,18,Melton City Council
Taylors Lakes,2a Mallacoota Ct,3,u,500000,PI,Brad,01-07-2017,3038,Western Metropolitan,5336,15.5,Brimbank City Council
Taylors Lakes,16 Shoppers La,3,h,427500,S,Ray,01-07-2017,3038,Western Metropolitan,5336,15.5,Brimbank City Council
Tecoma,1578 Burwood Hwy,3,h,,SN,Barry,01-07-2017,3160,Eastern Victoria,869,30.4,Yarra Ranges Shire Council
Tecoma,105 Terrys Av,4,h,855000,SP,Harcourts,01-07-2017,3160,Eastern Victoria,869,30.4,Yarra Ranges Shire Council
Templestowe,7 Watties Rd,2,h,,PI,Fletchers,01-07-2017,3106,Eastern Metropolitan,6202,15.5,Manningham City Council
Templestowe Lower,7 Buller Tce,3,h,,PI,Buckingham,01-07-2017,3107,Eastern Metropolitan,5420,12.4,Manningham City Council
Templestowe Lower,30 John St,5,h,1705000,PI,hockingstuart,01-07-2017,3107,Eastern Metropolitan,5420,12.4,Manningham City Council
The Basin,65 Government Rd,3,h,551200,SP,iTRAK,01-07-2017,3154,Eastern Metropolitan,1690,27,Knox City Council
Thomastown,95 Barry Rd,5,h,,SN,Love,01-07-2017,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council
Thomastown,3/13 Edna St,2,u,,PI,Harcourts,01-07-2017,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council
Thomastown,2/11 French St,3,u,542000,S,Ray,01-07-2017,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council
Thomastown,8 Glenburn St,3,h,,PI,Harcourts,01-07-2017,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council
Thomastown,17 Larch St,3,h,,PN,Emerson,01-07-2017,3074,Northern Metropolitan,7955,15.3,Whittlesea City Council
Thornbury,329 Gillies St,4,h,2070000,SP,Jellis,01-07-2017,3071,Northern Metropolitan,8870,7,Darebin City Council
Toorak,113 Grange Rd,6,h,2800000,S,Marshall,01-07-2017,3142,Southern Metropolitan,7217,4.1,Stonnington City Council
Truganina,2/7 Cabarita St,2,t,385000,SP,Reliance,01-07-2017,3029,Western Metropolitan,5811,18.4,Melton City Council
Tullamarine,4/48 Banksia Gr,3,h,500000,SP,Jason,01-07-2017,3043,Western Metropolitan,3296,12.9,Brimbank City Council
Tullamarine,73 Dawson St,3,h,,SN,Jason,01-07-2017,3043,Western Metropolitan,3296,12.9,Brimbank City Council
Tullamarine,3 Henderson Rd,4,h,821000,S,Jason,01-07-2017,3043,Western Metropolitan,3296,12.9,Brimbank City Council
Vermont,2/36 Halls Pde,3,t,917000,S,Noel,01-07-2017,3133,Eastern Metropolitan,4181,17.2,Maroondah City Council
Vermont South,6 Hempstead Av,4,h,,SP,Rounds,01-07-2017,3133,Eastern Metropolitan,4280,17.2,Whitehorse City Council
Viewbank,33 Eamon Dr,4,h,1115000,S,Miles,01-07-2017,3084,Eastern Metropolitan,2698,8.9,Banyule City Council
Viewbank,34 Toumlin Gr,3,h,905000,SP,Miles,01-07-2017,3084,Eastern Metropolitan,2698,8.9,Banyule City Council
Viewbank,1/9 Willa Av,3,u,,S,Nelson,01-07-2017,3084,Eastern Metropolitan,2698,8.9,Banyule City Council
Wantirna,7/3 Ashley St,2,h,450000,PI,Prof.,01-07-2017,3152,Eastern Metropolitan,5424,14.7,Knox City Council
Wantirna South,53 Somes St,3,h,1015000,SP,Ray,01-07-2017,3152,Eastern Metropolitan,7082,14.7,Knox City Council
Werribee,22 Bloom St,5,h,,PI,Barry,01-07-2017,3030,Western Metropolitan,16166,14.7,Wyndham City Council
Werribee,13 Davern Ct,4,h,,SP,Sweeney,01-07-2017,3030,Western Metropolitan,16166,14.7,Wyndham City Council
Werribee,22 Kramer St,3,h,510000,S,Ray,01-07-2017,3030,Western Metropolitan,16166,14.7,Wyndham City Council
Werribee,15 Retreat Pl,4,h,645000,S,YPA,01-07-2017,3030,Western Metropolitan,16166,14.7,Wyndham City Council
Werribee,1 Walwa Pl,3,h,427000,S,Greg,01-07-2017,3030,Western Metropolitan,16166,14.7,Wyndham City Council
Werribee,16 Wattamolla Av,3,h,600000,S,YPA,01-07-2017,3030,Western Metropolitan,16166,14.7,Wyndham City Council
Werribee South,656 Oconnors Rd,2,h,355000,S,Harcourts,01-07-2017,3030,Western Metropolitan,821,14.7,Wyndham City Council
West Footscray,15 Alberta St,3,h,845000,PI,Jas,01-07-2017,3012,Western Metropolitan,5058,6.4,Maribyrnong City Council
West Footscray,24 Hope St,2,h,876000,S,Biggin,01-07-2017,3012,Western Metropolitan,5058,6.4,Maribyrnong City Council
West Melbourne,23/1 Flagstaff La,3,t,,VB,Nelson,01-07-2017,3003,Northern Metropolitan,2230,3.1,Melbourne City Council
Westmeadows,26 Coghill St,3,h,578000,S,Jason,01-07-2017,3049,Northern Metropolitan,2474,16.5,Hume City Council
Williams Landing,89 Sayers Rd,4,h,510000,S,Ray,01-07-2017,3027,Western Metropolitan,1999,17.6,Wyndham City Council
Wollert,6 Burley St,2,u,390000,S,Ray,01-07-2017,3750,Northern Metropolitan,2940,25.5,Whittlesea City Council
Wollert,20 Vanin St,4,h,525000,S,Harcourts,01-07-2017,3750,Northern Metropolitan,2940,25.5,Whittlesea City Council
Wyndham Vale,5 Dakara Ct,3,h,480000,S,hockingstuart,01-07-2017,3024,Western Metropolitan,5262,27.2,Wyndham City Council
Wyndham Vale,11 Hoddle Lk,3,h,471100,S,YPA,01-07-2017,3024,Western Metropolitan,5262,27.2,Wyndham City Council
Yarraville,87 Ballard St,4,h,1000000,SP,Village,01-07-2017,3013,Western Metropolitan,6543,6.3,Maribyrnong City Council
Yarraville,72 Bishop St,3,h,1240000,VB,Jas,01-07-2017,3013,Western Metropolitan,6543,6.3,Maribyrnong City Council
Yarraville,67 Hawkhurst St,3,h,1115000,SP,Village,01-07-2017,3013,Western Metropolitan,6543,6.3,Maribyrnong City Council
Abbotsford,37 Hunter St,3,t,,PI,Biggin,01-09-2018,3067,Northern Metropolitan,4019,3,Yarra City Council
Airport West,47 Hillside Gr,3,h,750000,PI,Nelson,01-09-2018,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
Airport West,5a South Rd,3,u,685000,PI,Brad,01-09-2018,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
Albanvale,34 Delamare Dr,3,h,,PI,People,01-09-2018,3021,Western Metropolitan,1899,14,Brimbank City Council
Albert Park,200 Kerferd Rd,3,h,,PI,Paul,01-09-2018,3206,Southern Metropolitan,3280,3,Port Phillip City Council
Albion,1/129 Anderson Rd,2,u,,PI,Burnham,01-09-2018,3020,Western Metropolitan,2185,10.5,Brimbank City Council
Alphington,4/96 Yarralea St,2,u,520000,VB,Nelson,01-09-2018,3078,Northern Metropolitan,2211,5.7,Darebin City Council
Altona North,2/148 Chambers Rd,3,t,,PI,Bells,01-09-2018,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council
Altona North,49A Rosala Av,3,t,,PI,FN,01-09-2018,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council
Ascot Vale,76 The Parade,2,h,1015000,S,Nelson,01-09-2018,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council
Ashburton,10a Laurel St,4,h,1450000,VB,Marshall,01-09-2018,3147,Southern Metropolitan,3052,10.2,Boroondara City Council
Ashburton,11A Meaden St,4,h,,SP,Marshall,01-09-2018,3147,Southern Metropolitan,3052,10.2,Boroondara City Council
Ashwood,40 Ashwood Dr,4,h,,SN,Ray,01-09-2018,3147,Southern Metropolitan,2894,10.2,Monash City Council
Ashwood,46 Electra Av,4,t,,S,hockingstuart,01-09-2018,3147,Southern Metropolitan,2894,10.2,Monash City Council
Aspendale Gardens,6 Hilda Mw,3,h,800000,SP,Ray,01-09-2018,3195,South-Eastern Metropolitan,2243,21.5,Kingston City Council
Aspendale Gardens,30 Jacqueline Dr,4,h,1034000,SP,Buxton,01-09-2018,3195,South-Eastern Metropolitan,2243,21.5,Kingston City Council
Balwyn,1/2 Aif St,3,t,1410000,SP,Marshall,01-09-2018,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn,31 Austin St,3,t,1500000,VB,Jellis,01-09-2018,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn,511/188 Whitehorse Rd,2,u,,SP,Marshall,01-09-2018,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn North,1170 Burke Rd,4,h,2740000,PI,RT,01-09-2018,3104,Southern Metropolitan,7809,9.7,Boroondara City Council
Balwyn North,3/3 Corhampton Rd,2,h,815000,S,RT,01-09-2018,3104,Southern Metropolitan,7809,9.7,Boroondara City Council
Balwyn North,3 Nevada St,5,h,,S,Jellis,01-09-2018,3104,Southern Metropolitan,7809,9.7,Boroondara City Council
Bayswater,3/33 Elm St,2,u,580000,S,Barry,01-09-2018,3153,Eastern Metropolitan,5030,23.2,Knox City Council
Bayswater,29 John St,3,h,618000,S,Barry,01-09-2018,3153,Eastern Metropolitan,5030,23.2,Knox City Council
Beaumaris,2/133 Charman Rd,2,u,830000,S,hockingstuart,01-09-2018,3193,Southern Metropolitan,5366,17.3,Bayside City Council
Beaumaris,36 Cromer Rd,4,h,1400000,S,Hodges,01-09-2018,3193,Southern Metropolitan,5366,17.3,Bayside City Council
Beaumaris,26 Michael St,4,h,1200000,PI,Buxton,01-09-2018,3193,Southern Metropolitan,5366,17.3,Bayside City Council
Beaumaris,84 Scott St,3,h,1400000,PI,Buxton,01-09-2018,3193,Southern Metropolitan,5366,17.3,Bayside City Council
Beaumaris,140 Tramway Pde,4,h,2305000,S,hockingstuart,01-09-2018,3193,Southern Metropolitan,5366,17.3,Bayside City Council
Bellfield,1/9 Davidson St,3,t,,SN,Miles,01-09-2018,3081,Eastern Metropolitan,790,8.8,Banyule City Council
Bentleigh,5 Austin St,3,h,1710000,PI,Woodards,01-09-2018,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council
Bentleigh,8 Coates St,4,h,,VB,Jellis,01-09-2018,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council
Bentleigh,37 Daley St,3,h,1380000,S,Jellis,01-09-2018,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council
Bentleigh,59B Fromer St,3,t,1280000,S,Jellis,01-09-2018,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council
Bentleigh,37 Riddle St,4,h,1900000,VB,Jellis,01-09-2018,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council
Bentleigh,27 Wheatley Rd,5,h,2645000,S,Jellis,01-09-2018,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council
Bentleigh East,37A Blamey St,3,t,892500,S,Jellis,01-09-2018,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,2 Blenheim St,3,h,1235000,S,Buxton,01-09-2018,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,23 Bradford St,4,h,1145000,S,Buxton,01-09-2018,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,121 Brady Rd,3,h,1000000,VB,Woodards,01-09-2018,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,79B Brady Rd,4,t,1205000,S,Jellis,01-09-2018,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,882 Centre Rd,4,h,900000,VB,Woodards,01-09-2018,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,19 Chesterville Dr,4,h,1000000,PI,Ray,01-09-2018,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,2 Elwyn St,3,h,,SN,Obrien,01-09-2018,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,34 Gladesville Dr,3,h,,VB,Buxton,01-09-2018,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,18b Paloma St,4,h,1345000,S,Jellis,01-09-2018,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,40b Warwick St,4,t,1260000,SP,Buxton,01-09-2018,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,47 Wingate St,3,h,1125000,PI,Jellis,01-09-2018,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Black Rock,9 Eliza St,4,h,,S,Buxton,01-09-2018,3193,Southern Metropolitan,2866,17.3,Bayside City Council
Black Rock,3/19 Second St,2,u,842000,SP,Buxton,01-09-2018,3193,Southern Metropolitan,2866,17.3,Bayside City Council
Blackburn,2/17 Tara Av,2,u,689000,S,McGrath,01-09-2018,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council
Blackburn North,8 Belvedere Ct,3,h,890000,VB,Noel,01-09-2018,3130,Eastern Metropolitan,2867,13.4,Whitehorse City Council
Blackburn North,10 Gunyah Rd,3,h,860000,S,McGrath,01-09-2018,3130,Eastern Metropolitan,2867,13.4,Whitehorse City Council
Blackburn South,5 Agnew St,3,h,,SP,Fletchers,01-09-2018,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council
Blackburn South,15 Craig St,2,h,,SN,McGrath,01-09-2018,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council
Blackburn South,20 York St,4,h,980000,PI,Jellis,01-09-2018,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council
Box Hill,31 Sweetland Rd,8,h,1410000,S,HAR,01-09-2018,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council
Braybrook,3 Burnett Av,2,h,765000,SP,Sweeney,01-09-2018,3019,Western Metropolitan,3589,8.6,Maribyrnong City Council
Braybrook,56 South Rd,2,h,800000,SP,Bells,01-09-2018,3019,Western Metropolitan,3589,8.6,Maribyrnong City Council
Briar Hill,4 Ayr Ct,2,h,630000,VB,Jellis,01-09-2018,3088,Eastern Metropolitan,1390,16.1,Banyule City Council
