Suburb,Address,Rooms,Type,Price,SellerG,Date,Region name ,Distance,CouncilArea,Bedrooms,Bathroom,Car,Property Count
Balwyn North,2/4 Maylands Av,2,u,800000.0,Fletchers,01-04-2017,Southern Metropolitan,9.7,Boroondara City Council,2.0,2.0,1.0,7809
Bayswater North,8 Wattle Rd,4,h,880000.0,Philip,01-04-2017,Eastern Metropolitan,23.2,Maroondah City Council,2.0,1.0,0.0,3598
Beaumaris,39 White St,4,h,1435000.0,hockingstuart,01-04-2017,Southern Metropolitan,17.3,Bayside City Council,3.0,3.0,1.0,5366
Bellfield,1/15 Toohey St,3,u,675000.0,Nelson,01-04-2017,Eastern Metropolitan,8.8,Banyule City Council,1.0,1.0,1.0,790
Bentleigh,4b Hobart St,4,t,1300000.0,hockingstuart,01-04-2017,Southern Metropolitan,11.4,Glen Eira City Council,2.0,2.0,2.0,6795
Bentleigh,5 Mortimore St,3,h,1340000.0,Buxton,01-04-2017,Southern Metropolitan,11.4,Glen Eira City Council,4.0,3.0,1.0,6795
Bentleigh East,40 Castlewood St,3,h,1400000.0,hockingstuart,01-04-2017,Southern Metropolitan,13.8,Glen Eira City Council,3.0,2.0,2.0,10969
Bentleigh East,35 Highview Rd,2,t,775000.0,hockingstuart,01-04-2017,Southern Metropolitan,13.8,Glen Eira City Council,1.0,1.0,1.0,10969
Bentleigh East,5A MacKie Rd,3,t,920000.0,Buxton,01-04-2017,Southern Metropolitan,13.8,Glen Eira City Council,2.0,1.0,0.0,10969
Bentleigh East,103 Marlborough St,2,h,1220000.0,Point,01-04-2017,Southern Metropolitan,13.8,Glen Eira City Council,3.0,2.0,1.0,10969
Bentleigh East,45 Waratah St,4,h,1460000.0,hockingstuart,01-04-2017,Southern Metropolitan,13.8,Glen Eira City Council,2.0,1.0,0.0,10969
Black Rock,38 Ardoyne St,4,h,3000000.0,Buxton,01-04-2017,Southern Metropolitan,17.3,Bayside City Council,2.0,1.0,1.0,2866
Blackburn,4 Rosalind Cr,3,h,1110000.0,Barry,01-04-2017,Eastern Metropolitan,13.4,Whitehorse City Council,3.0,2.0,1.0,5713
Blackburn North,53 Morrie Cr,4,h,960000.0,Stockdale,01-04-2017,Eastern Metropolitan,13.4,Whitehorse City Council,3.0,2.0,1.0,2867
Blackburn North,3 Sheila St,5,h,1090000.0,Noel,01-04-2017,Eastern Metropolitan,13.4,Whitehorse City Council,3.0,2.0,1.0,2867
Blackburn South,47A Canora St,3,h,980000.0,Fletchers,01-04-2017,Eastern Metropolitan,13.4,Whitehorse City Council,3.0,1.0,1.0,4387
Blackburn South,34 Lawrence St,4,h,1925000.0,Noel,01-04-2017,Eastern Metropolitan,13.4,Whitehorse City Council,3.0,2.0,2.0,4387
Blackburn South,1/15 Vicki St,3,u,710000.0,Philip,01-04-2017,Eastern Metropolitan,13.4,Whitehorse City Council,2.0,1.0,1.0,4387
Bonbeach,470 Station St,4,h,985000.0,Purplebricks,01-04-2017,South-Eastern Metropolitan,27.0,Kingston City Council,2.0,1.0,1.0,2887
Brighton,435 New St,4,h,2250000.0,Buxton,01-04-2017,Southern Metropolitan,10.5,Bayside City Council,2.0,1.0,1.0,10579
Brighton East,81 Marriage Rd,4,h,2137000.0,Marshall,01-04-2017,Southern Metropolitan,10.3,Bayside City Council,3.0,1.0,1.0,6938
Brighton East,3 Sunlight Cr,4,h,2975000.0,Marshall,01-04-2017,Southern Metropolitan,10.3,Bayside City Council,3.0,1.0,1.0,6938
Brunswick,53 Amelia St,2,h,740000.0,Nelson,01-04-2017,Northern Metropolitan,5.2,Moreland City Council,2.0,1.0,1.0,11918
Brunswick,2 Cassels Rd,3,h,900000.0,hockingstuart,01-04-2017,Northern Metropolitan,5.2,Moreland City Council,3.0,2.0,2.0,11918
Brunswick,10 Lanark St,3,h,1120000.0,Nelson,01-04-2017,Northern Metropolitan,5.2,Moreland City Council,3.0,1.0,2.0,11918
Brunswick,9/4 Mitchell St,2,t,560000.0,Nelson,01-04-2017,Northern Metropolitan,5.2,Moreland City Council,2.0,1.0,1.0,11918
Brunswick,9 Pitt St,3,h,1685000.0,Nelson,01-04-2017,Northern Metropolitan,5.2,Moreland City Council,3.0,2.0,2.0,11918
Brunswick,301/34 Union St,2,u,625000.0,Rombotis,01-04-2017,Northern Metropolitan,5.2,Moreland City Council,2.0,1.0,1.0,11918
Brunswick East,217 Glenlyon Rd,3,h,1470000.0,Nelson,01-04-2017,Northern Metropolitan,4.0,Moreland City Council,3.0,2.0,5.0,5533
Brunswick East,1/164 Nicholson St,2,h,860000.0,Woodards,01-04-2017,Northern Metropolitan,4.0,Moreland City Council,3.0,1.0,1.0,5533
Brunswick West,370 Albion St,3,t,900000.0,Ray,01-04-2017,Northern Metropolitan,5.2,Moreland City Council,5.0,3.0,4.0,7082
Brunswick West,7/28 McLean St,2,h,576000.0,Biggin,01-04-2017,Northern Metropolitan,5.2,Moreland City Council,3.0,3.0,2.0,7082
Brunswick West,33 Newman St,4,h,1400000.0,Nelson,01-04-2017,Northern Metropolitan,5.2,Moreland City Council,3.0,2.0,2.0,7082
Bulleen,1 Victoria St,4,h,1150000.0,Jellis,01-04-2017,Eastern Metropolitan,10.8,Manningham City Council,2.0,2.0,1.0,4480
Bundoora,3 Florida Ct,2,t,525000.0,Barry,01-04-2017,Northern Metropolitan,12.1,Banyule City Council,3.0,2.0,1.0,10175
Bundoora,7 Gordon St,4,h,740000.0,Barry,01-04-2017,Northern Metropolitan,12.1,Banyule City Council,3.0,1.0,1.0,10175
Burwood,12 Andrews St,5,h,1265000.0,Jellis,01-04-2017,Southern Metropolitan,10.4,Monash City Council,3.0,1.0,1.0,5678
Burwood,26 Cromwell St,3,h,1000000.0,Buxton,01-04-2017,Southern Metropolitan,10.4,Monash City Council,2.0,1.0,1.0,5678
Burwood East,1/451 Highbury Rd,4,t,1460000.0,Jellis,01-04-2017,Eastern Metropolitan,14.7,Whitehorse City Council,3.0,2.0,1.0,4048
Burwood East,2/451 Highbury Rd,4,t,1200000.0,Jellis,01-04-2017,Eastern Metropolitan,14.7,Whitehorse City Council,3.0,1.0,2.0,4048
Burwood East,19 Lincoln St,4,h,935000.0,Barry,01-04-2017,Eastern Metropolitan,14.7,Whitehorse City Council,4.0,3.0,2.0,4048
Camberwell,1/565 Burke Rd,2,u,868000.0,RT,01-04-2017,Southern Metropolitan,7.7,Boroondara City Council,3.0,1.0,1.0,8920
Camberwell,5/1295 Toorak Rd,2,u,495000.0,Domain,01-04-2017,Southern Metropolitan,7.7,Boroondara City Council,4.0,1.0,2.0,8920
Carlton North,787 Rathdowne St,2,h,1470000.0,Nelson,01-04-2017,Northern Metropolitan,3.5,Melbourne City Council,2.0,1.0,0.0,3106
Carlton North,79 Wilson St,3,h,2410000.0,Nelson,01-04-2017,Northern Metropolitan,3.5,Melbourne City Council,2.0,1.0,0.0,3106
Carnegie,2 Milton St,4,h,1775000.0,hockingstuart,01-04-2017,Southern Metropolitan,10.1,Glen Eira City Council,3.0,2.0,0.0,7822
Carnegie,9/80 Woornack Rd,1,u,295000.0,Ray,01-04-2017,Southern Metropolitan,10.1,Glen Eira City Council,2.0,1.0,0.0,7822
Caroline Springs,26 Bursaria Dr,4,h,629000.0,Sweeney,01-04-2017,Western Metropolitan,14.8,Melton City Council,2.0,1.0,0.0,7719
Caroline Springs,17 The Entrance,2,t,406000.0,Barry,01-04-2017,Western Metropolitan,14.8,Melton City Council,2.0,2.0,1.0,7719
Carrum,13 Wright St,3,h,825000.0,Ray,01-04-2017,South-Eastern Metropolitan,31.2,Kingston City Council,1.0,1.0,0.0,1989
Carrum Downs,67 Gamble Rd,4,h,581500.0,Donovan,01-04-2017,South-Eastern Metropolitan,34.9,Frankston City Council,2.0,1.0,1.0,8060
Caulfield East,15 Grange Rd,3,h,1400000.0,Gary,01-04-2017,Southern Metropolitan,8.4,Glen Eira City Council,4.0,2.0,1.0,608
Caulfield South,498 Kooyong Rd,3,h,1538000.0,Biggin,01-04-2017,Southern Metropolitan,8.7,Glen Eira City Council,3.0,2.0,1.0,5051
Chelsea,29c Ella Gr,3,u,886000.0,O'Brien,01-04-2017,South-Eastern Metropolitan,27.0,Kingston City Council,2.0,1.0,1.0,3906
Clayton,33 Dunstan St,7,h,4000000.0,Darras,01-04-2017,South-Eastern Metropolitan,16.7,Monash City Council,3.0,1.0,0.0,5837
Clayton,9B Hourigan Av,4,t,1010000.0,C21,01-04-2017,South-Eastern Metropolitan,16.7,Monash City Council,2.0,1.0,0.0,5837
Clayton,3/32 Madeleine Rd,2,t,697500.0,C21,01-04-2017,South-Eastern Metropolitan,16.7,Monash City Council,3.0,2.0,1.0,5837
Clayton South,24 Kitson Rd,3,h,800000.0,C21,01-04-2017,South-Eastern Metropolitan,17.5,Kingston City Council,3.0,1.0,0.0,4734
Clifton Hill,6/37 Groom St,3,h,1805000.0,Nelson,01-04-2017,Northern Metropolitan,3.6,Yarra City Council,2.0,1.0,0.0,2954
Clifton Hill,208 Noone St,3,h,1400000.0,Nelson,01-04-2017,Northern Metropolitan,3.6,Yarra City Council,2.0,1.0,2.0,2954
Coburg,253 Bell St,3,h,1032500.0,Nelson,01-04-2017,Northern Metropolitan,6.7,Darebin City Council,3.0,2.0,1.0,11204
Coburg,100 Clarendon St,3,h,1070000.0,Peter,01-04-2017,Northern Metropolitan,6.7,Darebin City Council,2.0,1.0,0.0,11204
Coburg,116 Gordon St,3,h,1005000.0,Barry,01-04-2017,Northern Metropolitan,6.7,Darebin City Council,2.0,1.0,1.0,11204
Coburg,43 Linda St,2,h,905000.0,Peter,01-04-2017,Northern Metropolitan,6.7,Darebin City Council,2.0,1.0,0.0,11204
Coburg,8/2 McKay St,2,u,412000.0,Del,01-04-2017,Northern Metropolitan,6.7,Darebin City Council,3.0,2.0,1.0,11204
Coburg,30 Quarry Cct,1,u,333000.0,Woodards,01-04-2017,Northern Metropolitan,6.7,Darebin City Council,3.0,1.0,0.0,11204
Coburg,7 Railway Pl,2,h,797500.0,Ray,01-04-2017,Northern Metropolitan,6.7,Darebin City Council,3.0,1.0,2.0,11204
Coburg,3/3 Wardens Wk,2,u,430000.0,Woodards,01-04-2017,Northern Metropolitan,6.7,Darebin City Council,3.0,1.0,0.0,11204
Coburg North,23 Ida St,2,t,490000.0,Ray,01-04-2017,Northern Metropolitan,6.7,Darebin City Council,3.0,2.0,0.0,3445
Coburg North,64 Ronald St,4,h,960000.0,Nelson,01-04-2017,Northern Metropolitan,6.7,Darebin City Council,3.0,1.0,0.0,3445
Collingwood,2/136 Oxford St,2,u,960000.0,Nelson,01-04-2017,Northern Metropolitan,2.0,Yarra City Council,3.0,1.0,0.0,4553
Craigieburn,7A Amstel St,3,h,356500.0,Jason,01-04-2017,Northern Metropolitan,20.6,Hume City Council,2.0,1.0,1.0,15510
Craigieburn,4 Meadowbank Ct,4,h,580500.0,YPA,01-04-2017,Northern Metropolitan,20.6,Hume City Council,2.0,1.0,1.0,15510
Craigieburn,163 Newbury Bvd,3,h,573000.0,Bombay,01-04-2017,Northern Metropolitan,20.6,Hume City Council,3.0,2.0,1.0,15510
Craigieburn,16 Serenity Wy,4,h,475000.0,Biggin,01-04-2017,Northern Metropolitan,20.6,Hume City Council,2.0,2.0,1.0,15510
Craigieburn,226 Windrock Av,3,t,385000.0,Ray,01-04-2017,Northern Metropolitan,20.6,Hume City Council,7.0,7.0,0.0,15510
Cranbourne North,22 Horsfield St,3,h,475000.0,LJ,01-04-2017,South-Eastern Metropolitan,34.7,Casey City Council,1.0,1.0,0.0,6464
Croydon,174A Lincoln Rd,3,t,744000.0,Fletchers,01-04-2017,Eastern Metropolitan,23.0,Maroondah City Council,4.0,2.0,1.0,11925
Croydon,1 Robinson St,3,h,746000.0,Philip,01-04-2017,Eastern Metropolitan,23.0,Maroondah City Council,3.0,3.0,1.0,11925
Croydon,59 Wicklow Av,3,h,965000.0,Carter,01-04-2017,Eastern Metropolitan,23.0,Maroondah City Council,3.0,2.0,2.0,11925
Dallas,31 Phillip St,3,h,455500.0,Barry,01-04-2017,Northern Metropolitan,14.0,Hume City Council,3.0,2.0,1.0,2246
Dandenong,24 Grandview Av,3,h,610000.0,McLennan,01-04-2017,South-Eastern Metropolitan,24.7,Greater Dandenong City Council,2.0,1.0,1.0,10894
Dandenong North,4/3 Rhoden Ct,2,u,307000.0,buyMyplace,01-04-2017,South-Eastern Metropolitan,24.7,Greater Dandenong City Council,2.0,1.0,0.0,8322
Deepdene,19 Terry St,2,h,1610000.0,Noel,01-04-2017,Southern Metropolitan,7.9,Boroondara City Council,3.0,2.0,1.0,892
Deer Park,20 Davitt Dr,5,h,589000.0,YPA,01-04-2017,Western Metropolitan,14.8,Brimbank City Council,3.0,2.0,0.0,6388
Deer Park,20 Doherty St,4,h,603000.0,Bells,01-04-2017,Western Metropolitan,14.8,Brimbank City Council,3.0,2.0,2.0,6388
Delahey,1/25 Yeats Dr,3,h,335000.0,Ray,01-04-2017,Western Metropolitan,18.0,Brimbank City Council,3.0,3.0,1.0,2898
Diamond Creek,27 Fairview Cr,4,h,730000.0,Mason,01-04-2017,Northern Victoria,21.8,Nillumbik Shire Council,1.0,1.0,0.0,4258
Dingley Village,6 Balcombe Pl,4,h,920000.0,Buxton,01-04-2017,South-Eastern Metropolitan,22.2,Kingston City Council,3.0,2.0,1.0,3940
Dingley Village,4 Bayville Dr,3,h,770000.0,Buxton,01-04-2017,South-Eastern Metropolitan,22.2,Kingston City Council,3.0,2.0,4.0,3940
Dingley Village,17 Emery Dr,4,h,1140000.0,Buxton,01-04-2017,South-Eastern Metropolitan,22.2,Kingston City Council,3.0,2.0,2.0,3940
Dingley Village,34 Marcus Rd,4,h,910000.0,Ray,01-04-2017,South-Eastern Metropolitan,22.2,Kingston City Council,3.0,2.0,2.0,3940
Doncaster,73 Ayr St,4,h,1556000.0,Barry,01-04-2017,Eastern Metropolitan,12.4,Manningham City Council,3.0,1.0,3.0,9028
Doncaster East,48 Blackburn Rd,4,h,1249000.0,Lindellas,01-04-2017,Eastern Metropolitan,14.3,Manningham City Council,4.0,2.0,1.0,10999
Doncaster East,2/3 Elizabeth St,3,t,950000.0,Parkes,01-04-2017,Eastern Metropolitan,14.3,Manningham City Council,5.0,4.0,4.0,10999
Doncaster East,1/60 Franklin Rd,3,t,820000.0,Noel,01-04-2017,Eastern Metropolitan,14.3,Manningham City Council,5.0,3.0,4.0,10999
Doncaster East,58 Huntingfield Dr,4,h,1730000.0,Jellis,01-04-2017,Eastern Metropolitan,14.3,Manningham City Council,2.0,1.0,1.0,10999
Donvale,11 Chaim Ct,3,h,1260000.0,Jellis,01-04-2017,Eastern Metropolitan,16.1,Manningham City Council,2.0,1.0,1.0,4790
East Melbourne,16/246 Albert St,1,u,675000.0,Caine,01-04-2017,Northern Metropolitan,1.3,Melbourne City Council,3.0,3.0,2.0,3040
East Melbourne,138 Powlett St,4,h,4150000.0,Caine,01-04-2017,Northern Metropolitan,1.3,Melbourne City Council,3.0,1.0,2.0,3040
Elsternwick,2 Park St,3,h,2250000.0,Biggin,01-04-2017,Southern Metropolitan,7.2,Glen Eira City Council,4.0,2.0,2.0,4898
Eltham,14 Floriston Gr,3,h,840500.0,Morrison,01-04-2017,Eastern Metropolitan,18.0,Banyule City Council,4.0,2.0,2.0,6990
Eltham,14 Lamorna Ct,3,h,900000.0,Barry,01-04-2017,Eastern Metropolitan,18.0,Banyule City Council,3.0,1.0,1.0,6990
Eltham,89 Napoleon St,3,h,837000.0,Morrison,01-04-2017,Eastern Metropolitan,18.0,Banyule City Council,2.0,1.0,1.0,6990
Eltham North,34 Weidlich Rd,4,h,1000000.0,Barry,01-04-2017,Eastern Metropolitan,18.0,Banyule City Council,0.0,1.0,0.0,2346
Elwood,3/22 Shelley St,2,u,805000.0,Chisholm,01-04-2017,Southern Metropolitan,7.2,Port Phillip City Council,4.0,2.0,2.0,8989
Elwood,68 Tennyson St,4,h,2985000.0,Kay,01-04-2017,Southern Metropolitan,7.2,Port Phillip City Council,3.0,1.0,2.0,8989
Endeavour Hills,6 Fleming Cl,4,h,690000.0,O'Brien,01-04-2017,South-Eastern Metropolitan,28.5,Casey City Council,4.0,2.0,2.0,8443
Epping,50 Farmhouse Bvd,3,h,497000.0,Harcourts,01-04-2017,Northern Metropolitan,19.6,Whittlesea City Council,5.0,2.0,2.0,10926
Epping,24 Guinea Ct,3,h,507500.0,Love,01-04-2017,Northern Metropolitan,19.6,Whittlesea City Council,3.0,0.0,0.0,10926
Epping,29 Inverloch St,5,h,1010000.0,Ray,01-04-2017,Northern Metropolitan,19.6,Whittlesea City Council,4.0,2.0,3.0,10926
Essendon,40 Bradshaw St,4,h,1930000.0,Nelson,01-04-2017,Western Metropolitan,7.5,Moonee Valley City Council,3.0,2.0,1.0,9264
Essendon,118 Deakin St,4,h,1399000.0,Nelson,01-04-2017,Western Metropolitan,7.5,Moonee Valley City Council,5.0,3.0,3.0,9264
Essendon,23 Gilbertson St,3,h,1512000.0,Nelson,01-04-2017,Western Metropolitan,7.5,Moonee Valley City Council,2.0,1.0,2.0,9264
Essendon,12 McCarron Pde,4,h,2000000.0,Frank,01-04-2017,Western Metropolitan,7.5,Moonee Valley City Council,3.0,1.0,2.0,9264
Essendon,6/46 Richardson St,3,u,552000.0,Rendina,01-04-2017,Western Metropolitan,7.5,Moonee Valley City Council,4.0,1.0,4.0,9264
Essendon,12/25 Winifred St,2,u,860000.0,Nelson,01-04-2017,Western Metropolitan,7.5,Moonee Valley City Council,4.0,3.0,6.0,9264
Essendon North,2B Cowper St,4,h,946000.0,Nelson,01-04-2017,Western Metropolitan,8.2,Moonee Valley City Council,2.0,1.0,2.0,1308
Essendon West,32 Garnet St,3,h,1430000.0,Nelson,01-04-2017,Western Metropolitan,7.5,Moonee Valley City Council,2.0,1.0,1.0,588
Fairfield,232 Darebin Rd,4,h,1270000.0,RT,01-04-2017,Northern Metropolitan,5.7,Darebin City Council,3.0,1.0,1.0,2970
Fawkner,13 Birchwood St,3,h,635000.0,Barry,01-04-2017,Northern Metropolitan,13.1,Hume City Council,3.0,1.0,1.0,5070
Fawkner,9 Emma St,3,h,705000.0,Brad,01-04-2017,Northern Metropolitan,13.1,Hume City Council,2.0,1.0,1.0,5070
Fawkner,13 Minona St,3,t,625000.0,Brad,01-04-2017,Northern Metropolitan,13.1,Hume City Council,3.0,1.0,4.0,5070
Ferntree Gully,2 California Cr,3,h,665508.0,Barry,01-04-2017,Eastern Metropolitan,24.8,Knox City Council,3.0,2.0,2.0,10788
Ferntree Gully,32 Gaydon St,3,h,691000.0,Win,01-04-2017,Eastern Metropolitan,24.8,Knox City Council,2.0,1.0,1.0,10788
Ferntree Gully,12 Kingston St,4,h,815000.0,Schroeder,01-04-2017,Eastern Metropolitan,24.8,Knox City Council,2.0,1.0,2.0,10788
Ferntree Gully,50 Wattletree Rd,3,h,730000.0,Biggin,01-04-2017,Eastern Metropolitan,24.8,Knox City Council,3.0,2.0,2.0,10788
Fitzroy,7/19 Victoria St,1,u,720000.0,Jellis,01-04-2017,Northern Metropolitan,2.1,Yarra City Council,2.0,1.0,1.0,5825
Fitzroy North,64 Barkly St,3,h,1890000.0,Nelson,01-04-2017,Northern Metropolitan,3.6,Moreland City Council,2.0,1.0,1.0,6244
Fitzroy North,6 Ivan St,3,h,1454000.0,Nelson,01-04-2017,Northern Metropolitan,3.6,Moreland City Council,4.0,1.0,2.0,6244
Fitzroy North,497 Napier St,3,h,1310000.0,Nelson,01-04-2017,Northern Metropolitan,3.6,Moreland City Council,3.0,2.0,2.0,6244
Fitzroy North,88 Rowe St,4,h,3259000.0,Jellis,01-04-2017,Northern Metropolitan,3.6,Moreland City Council,3.0,2.0,1.0,6244
Fitzroy North,53 Tait St,2,h,1325000.0,Collins,01-04-2017,Northern Metropolitan,3.6,Moreland City Council,2.0,1.0,1.0,6244
Footscray,509/250 Barkly St,1,u,331000.0,McGrath,01-04-2017,Western Metropolitan,5.1,Maribyrnong City Council,2.0,1.0,1.0,7570
Footscray,3 Railway Pl,3,h,1000000.0,Jas,01-04-2017,Western Metropolitan,5.1,Maribyrnong City Council,3.0,2.0,1.0,7570
Footscray,12 Swan St,2,t,771000.0,Jas,01-04-2017,Western Metropolitan,5.1,Maribyrnong City Council,3.0,1.0,2.0,7570
Forest Hill,4 Lowana Cr,3,h,1260000.0,Barry,01-04-2017,Eastern Metropolitan,15.4,Whitehorse City Council,2.0,2.0,1.0,4385
Frankston,21 Glenview Cr,3,h,508000.0,Eview,01-04-2017,South-Eastern Metropolitan,38.0,Frankston City Council,3.0,1.0,2.0,17055
Frankston,6 Yuille St,2,h,501500.0,McGrath,01-04-2017,South-Eastern Metropolitan,38.0,Frankston City Council,3.0,2.0,2.0,17055
Frankston North,5 Silvertop St,3,h,450000.0,Aquire,01-04-2017,Eastern Victoria,36.9,Frankston City Council,3.0,1.0,2.0,2500
Gladstone Park,6 Reeves Cl,4,h,650000.0,Raine,01-04-2017,Western Metropolitan,12.9,Hume City Council,3.0,2.0,0.0,3285
Glen Iris,18 Creswick St,3,h,3730000.0,Wilson,01-04-2017,Southern Metropolitan,7.3,Boroondara City Council,3.0,2.0,1.0,10412
Glen Iris,2A Dundas St,3,h,1225000.0,Buxton,01-04-2017,Southern Metropolitan,7.3,Boroondara City Council,4.0,2.0,3.0,10412
Glen Iris,14b Lithgow St,4,h,1500000.0,Marshall,01-04-2017,Southern Metropolitan,7.3,Boroondara City Council,3.0,1.0,2.0,10412
Glen Waverley,2/97 Bogong Av,4,t,1100080.0,McGrath,01-04-2017,Eastern Metropolitan,16.7,Monash City Council,3.0,2.0,2.0,15321
Glen Waverley,16 Botanic Dr,4,h,1520000.0,LLC,01-04-2017,Eastern Metropolitan,16.7,Monash City Council,2.0,2.0,1.0,15321
Glen Waverley,28 Edith St,7,h,1716000.0,Harcourts,01-04-2017,Eastern Metropolitan,16.7,Monash City Council,3.0,1.0,1.0,15321
Glen Waverley,40 Fraser St,5,h,1100000.0,Roger,01-04-2017,Eastern Metropolitan,16.7,Monash City Council,3.0,2.0,1.0,15321
Glen Waverley,6 Harvie St,4,h,1467000.0,Harcourts,01-04-2017,Eastern Metropolitan,16.7,Monash City Council,3.0,1.0,4.0,15321
Glen Waverley,24 Pepperell Av,3,h,1600000.0,Fletchers,01-04-2017,Eastern Metropolitan,16.7,Monash City Council,3.0,1.0,2.0,15321
Glen Waverley,43 Ranfurlie Dr,4,h,1311000.0,Ray,01-04-2017,Eastern Metropolitan,16.7,Monash City Council,4.0,2.0,3.0,15321
Glenroy,69A Maude Av,3,t,582000.0,Eview,01-04-2017,Northern Metropolitan,11.2,Moreland City Council,3.0,1.0,1.0,8870
Gowanbrae,29 Balerno Cir,3,h,536000.0,Nelson,01-04-2017,Western Metropolitan,12.9,Moreland City Council,5.0,3.0,6.0,1071
Gowanbrae,140 Gowanbrae Dr,3,h,696000.0,Jellis,01-04-2017,Western Metropolitan,12.9,Moreland City Council,3.0,1.0,2.0,1071
Greensborough,12 Armstrong St,3,h,768000.0,Fletchers,01-04-2017,Northern Metropolitan,16.1,Banyule City Council,3.0,1.0,3.0,8524
